# Source: openpowerlifting.org rankings, filter "Raw+Wraps", all classes, all
# sexes, sorted by Dots, top 300 all-time. Captured 2026-09-10. Units as the
# site displayed them: POUNDS.
#
# Captured programmatically via scripts/fetch_openpowerlifting.py from the
# OpenPowerlifting API. Used to bound human performance so validation
# ceilings and ratios are grounded in empirical meet data.
rank,lifter,fed,date,sex,age,equip,bodyweight_lb,squat_lb,bench_lb,deadlift_lb,total_lb,dots
103,Drake Stephens #1,USPC,2025-11-22,M,35,Raw,197.7,716.5,520.3,804.7,2041.5,599.76
104,Mariya Panferova,IPL,2017-04-20,F,39,Wraps,157.8,551.1,297.6,485.0,1333.7,599.19
105,Ben Pollack,SPF,2017-11-11,M,30,Wraps,197.8,799.1,424.4,815.7,2039.2,599.05
106,Kalle Räsänen,IPA,2019-05-25,M,28,Wraps,198.2,860.9,424.4,755.0,2040.3,598.76
107,Craig Malkowicz,USPA,2022-02-19,M,27,Wraps,204.6,760.6,440.9,870.8,2072.3,598.7
108,Egor Musienko,WPA-RUS,2019-12-21,M,26,Wraps,240.5,859.8,501.5,859.8,2221.1,598.57
109,Joy Nnamani,BP,2025-12-05,F,32~,Raw,125.0,407.8,220.4,519.2,1147.4,598.4
110,Jade Jacob,IPF,2024-02-10,F,22~,Raw,124.7,414.4,220.4,510.3,1145.1,598.15
111,Cailer Woolam,SPF,2019-11-09,M,24,Raw,215.8,677.9,490.5,953.5,2121.9,598.02
112,Ade Omisakin,IPF,2026-06-13,M,27,Raw,181.8,688.9,451.9,804.7,1945.5,597.8
113,Jesse Norris,SPF,2015-11-07,M,22,Raw,197.8,766.1,440.9,826.7,2033.7,597.43
114,Samara França,GPC,2025-10-22,F,27,Wraps,163.7,551.1,253.5,540.1,1344.7,597.3
115,Krzysztof Wierzbicki,PLTRAW,2025-03-19,M,34,Raw,239.4,749.5,457.4,1005.3,2212.2,597.24
116,Jeremy Avilla,WRPF,2018-08-24,M,30,Wraps,217.8,804.7,435.4,887.3,2127.4,597.11
117,Tracy Johnson #9,SPF,2022-12-03,M,0,Wraps,105.8,420.0,320.0,530.0,1270.0,597.04
118,Amanda Lawrence #1,IPF,2024-02-10,F,26,Raw,184.1,550.0,297.6,578.7,1426.3,597.0
119,Bobb Matthews,AMP,2025-11-22,M,28,Raw,244.1,810.2,545.6,871.9,2227.7,596.96
120,Andrey Belyaev #1,BB,2010-12-18,M,27,Wraps,210.9,760.6,551.1,782.6,2094.3,596.34
121,Nick Ramey,SPF,2020-06-27,M,28,Wraps,220.0,902.0,451.0,781.0,2134.0,596.34
122,Ranson Lee,SPF,2019-11-09,M,28,Wraps,219.8,848.7,518.1,766.1,2132.9,596.29
123,Natalie Richards #1,IPF,2024-02-10,F,25,Raw,124.2,411.1,242.5,485.0,1138.6,596.16
124,Megan-Li Smith,ORPF,2025-11-19,F,29,Raw,115.2,385.8,243.6,451.9,1081.3,595.88
125,Dan Green,ProRaw,2013-11-16,M,30,Wraps,240.3,848.7,523.6,837.7,2210.0,595.81
126,Landri Peden,WRPF,2024-04-06,F,38,Wraps,164.4,523.6,264.5,556.6,1344.7,595.81
127,Nicole Enriquez,USPA,2026-05-25,F,34,Raw,185.2,518.1,308.6,600.7,1427.4,595.8
128,Andrew Herbert,SPF,2019-11-09,M,37,Wraps,240.4,942.4,474.0,793.6,2210.0,595.72
129,Tiffany Chapon,IPF,2026-06-13,F,24~,Raw,103.1,375.9,231.5,391.3,998.7,595.56
130,Viktoriya Ilieva,ABS,2026-08-01,F,26,Wraps,175.2,496.0,319.6,573.2,1388.8,595.48
131,William Ball #2,IPF,2026-06-13,M,20,Raw,201.5,738.5,479.5,826.7,2044.7,595.13
132,Vanessa Torres,APF,2022-04-09,F,0,Wraps,123.2,485.0,245.0,400.0,1130.0,594.96
133,Oleksii Melnyk,USPA,2019-04-13,M,28,Wraps,194.2,793.6,451.9,760.6,2006.1,594.86
134,Ilya Marichev,FPR,2025-06-16,M,23~,Raw,162.6,683.4,352.7,771.6,1807.7,594.7
135,Joe Sullivan,USPA,2017-04-15,M,23,Wraps,218.7,865.3,507.0,749.5,2121.8,594.51
136,Irina Kravtsova,WRPF,2025-07-12,F,26,Raw,140.8,485.0,281.1,462.9,1229.0,594.47
137,Eduard Dolgov #1,WRPF,2019-12-04,M,32,Wraps,217.6,793.6,507.0,815.7,2116.3,594.28
138,Tyler Williamson,SPF,2025-03-15,M,34,Raw,215.1,854.3,496.0,755.0,2105.3,594.14
139,Brittany Schlater,IPF,2026-06-13,F,34~,Raw,288.9,666.9,363.7,637.1,1667.7,593.86
140,Anthony McNaughton,IPF,2026-06-13,M,26,Raw,229.1,810.2,540.1,810.2,2160.5,593.45
141,Suzanne Davis,USPA,2019-08-03,F,48,Wraps,130.5,440.9,243.6,485.0,1169.5,593.11
142,Joel Janssen,WRPF-CAN,2021-11-06,M,29,Wraps,179.9,722.0,374.8,821.2,1918.0,593.03
143,Ashley Contorno,WRPF,2022-02-12,F,33,Raw,160.9,485.0,330.7,507.0,1322.7,592.89
144,Kelsey Paskert,UPA,2022-03-26,F,31,Wraps,152.5,507.0,275.5,501.5,1284.0,592.88
145,Stan Efferding,SPF,2013-03-24,M,45,Wraps,274.7,865.3,600.7,837.7,2303.7,592.83
146,Jeremy Hamilton,USPA,2015-08-29,M,34,Wraps,220.4,821.2,518.1,783.7,2123.0,592.74
147,Anthony Hobaica,XPC,2018-03-02,M,0,Wraps,180.4,770.0,500.0,650.0,1920.0,592.69
148,Odell Manuel,ProRaw,2018-10-14,M,40,Wraps,345.4,1014.1,584.2,859.8,2458.1,592.68
149,Eduard Khanjyan,FPO,2018-12-02,M,33,Wraps,242.0,925.9,507.0,771.6,2204.5,592.67
150,Jesus Olivares,IPF,2023-03-25,M,24,Raw,392.8,1036.1,600.7,903.9,2540.7,592.59
151,Yelena Espinoza,WRPF,2022-02-12,F,25,Raw,122.1,374.8,242.5,501.5,1118.8,592.48
152,Taylor Ballinger,PLU,2026-08-08,F,32,Raw,148.3,478.4,282.2,501.5,1262.1,592.06
153,K'Aunica Byrd,USPA,2019-08-03,F,30,Raw,146.1,440.9,281.1,529.1,1251.1,592.03
154,Valerie Leone,WRPF-CAN,2025-12-06,F,34,Wraps,124.1,468.4,231.5,429.9,1129.8,591.95
155,Kenneth Coleman,APA,2019-12-07,M,42,Wraps,217.0,885.0,485.0,735.0,2105.0,591.79
156,Chris Pugh #1,IrishPO,2022-08-28,M,29,Wraps,181.3,806.9,454.1,661.4,1922.4,591.7
157,Justine Baxter,GPC-AUS,2025-11-02,F,38,Wraps,177.7,617.3,220.4,551.1,1388.8,591.42
158,Dayle Longford,BPU,2020-12-04,M,32,Wraps,197.5,749.5,490.5,771.6,2011.6,591.35
159,Keith Correa,WRPF,2023-11-12,M,27,Raw,162.4,600.7,391.3,804.7,1796.7,591.34
160,Allison Hind,XPS,2019-09-28,F,37,Wraps,164.6,505.0,345.0,485.0,1335.0,591.21
161,Keenan Lee,IPF,2026-01-31,M,32,Raw,230.7,815.7,496.0,843.2,2154.9,590.3
162,Jonathan Harder,XPC,2024-03-01,M,45,Wraps,172.2,720.0,480.0,660.0,1860.0,590.14
163,James Searcy,RPS,2018-05-19,M,28,Wraps,304.8,1058.2,451.9,854.3,2364.4,589.84
164,Tamara Walcott,USPC,2025-05-03,F,41,Raw,305.3,676.8,341.7,654.7,1673.2,589.79
165,Jordan Jarrell,RPS,2020-10-10,M,31,Wraps,218.8,793.6,534.6,777.1,2105.3,589.75
166,Jurins Kengamu,IPF,2025-08-14,M,36~,Raw,182.6,699.9,429.9,793.6,1923.4,589.65
167,Konstantin Dunin,WRPF,2026-03-28,M,30,Wraps,197.7,837.7,418.8,749.5,2006.0,589.4
168,Jayden Lowe,AMP,2025-11-22,M,20,Raw,182.9,655.8,435.4,833.3,1924.5,589.35
169,Blanca Villoch,SPF,2019-11-09,F,35,Wraps,147.4,501.5,237.0,512.5,1251.0,589.13
170,David Herrera #1,USPA,2020-05-16,M,33,Wraps,192.6,738.5,429.9,810.2,1978.6,589.13
171,Chris Garcia #1,WRPF,2022-05-01,M,34,Wraps,196.8,815.7,435.4,749.5,2000.6,589.11
172,Ashton Rouska,USAPL,2020-11-14,M,23,Raw,217.0,793.6,457.4,844.3,2095.3,589.06
173,Maria Ramos #1,PLU,2025-04-13,F,34,Raw,105.3,374.8,209.4,418.8,1003.0,588.95
174,Ravil Shiganutdinov,WRPF,2026-03-28,M,34,Wraps,272.2,936.9,595.2,749.5,2281.6,588.85
175,Jodie Burford,RPS,2018-05-19,F,26~,Wraps,141.0,512.5,225.9,479.5,1217.9,588.81
176,Melissa Teich,PLU,2025-05-04,F,36,Raw,161.8,512.5,303.1,501.5,1317.1,588.68
177,Estela Peña,GPC,2015-11-26,F,25,Wraps,163.1,573.2,253.5,496.0,1322.7,588.57
178,Kyler Kitchens,365Strong,2026-01-25,M,27,Raw,201.6,771.6,529.1,722.0,2022.7,588.49
179,Russel Orhii,IPF,2025-01-26,M,30,Raw,182.6,745.1,446.4,727.5,1919.0,588.3
180,Julia Mills,GPC-GB,2024-07-21,F,45,Wraps,177.0,540.1,319.6,518.1,1377.8,587.81
181,Marco Galindo,WRPF,2023-09-30,M,29,Raw,197.7,733.0,474.0,793.6,2000.6,587.78
182,Evie Corrigan,IPF,2024-02-10,F,27,Raw,114.3,369.2,231.5,459.6,1060.3,587.47
183,Austin Dodd #1,RPS,2020-11-14,M,27,Wraps,198.0,865.3,462.9,672.4,2000.6,587.42
184,Stella Higgins,ABS,2025-08-02,F,0,Wraps,121.9,440.9,253.5,413.3,1107.7,587.35
185,Ogden J Myklebust III,USPA,2018-08-25,M,31,Wraps,235.2,782.6,512.5,865.3,2160.4,587.27
186,Erbol Nauanov,USPA,2018-05-12,M,28,Wraps,180.3,699.9,496.0,705.4,1901.3,587.09
187,Zuzanna Mazur,IPF,2026-06-13,F,19~,Raw,165.3,479.5,292.1,556.6,1328.2,586.82
188,Delaney Wallace,AMP,2025-04-03,M,30,Raw,182.4,683.4,457.4,771.6,1912.4,586.71
189,Emil Krastev,IPF,2026-01-31,M,28~,Raw,204.1,694.4,523.6,810.2,2028.2,586.63
190,Nadia Otter,UPC-Germany,2018-03-08,F,34,Wraps,179.9,518.1,326.2,541.2,1385.5,586.45
191,Daniel Misencik,WRPF,2022-02-12,M,27,Wraps,239.2,953.5,446.4,771.6,2171.5,586.44
192,Anna Karrila,WPC-Finland,2021-04-24,F,33,Wraps,191.8,584.2,363.7,501.5,1449.4,586.13
193,Kiersten Scurlock,WRPF,2022-02-12,F,29,Wraps,229.7,650.3,330.7,556.6,1537.6,586.03
194,Anatolii Novopismennyi,UkrainePF,2025-10-08,M,28,Raw,219.5,826.7,507.0,760.6,2094.3,585.76
195,Rait Sagor,GPC-AUS,2018-06-01,M,28,Wraps,220.0,789.2,479.5,826.7,2095.4,585.56
196,Jonathan Cayco,AMP,2025-04-03,M,32,Raw,204.7,683.4,555.5,788.1,2027.0,585.49
197,Brandon Allen #1,USPA,2018-05-12,M,29,Wraps,323.8,975.5,567.7,843.2,2386.4,585.41
198,David Raymond,UPA,2023-11-11,M,32,Wraps,164.2,705.4,369.2,716.5,1791.1,585.41
199,Balthazar Bertrand,IPF,2026-06-13,M,23~,Raw,161.9,688.9,424.4,661.4,1774.7,585.38
200,Isaiah Grice,USPC,2026-08-29,M,36,Wraps,274.0,910.5,535.7,826.7,2272.9,585.37
201,Perseus Black,USPA,2019-08-03,M,36,Wraps,271.1,903.9,578.7,782.6,2265.2,585.35
202,Josh Smith #3,SPF,2020-12-12,M,34,Wraps,242.0,870.8,529.1,777.1,2177.0,585.33
203,Hussam Ateyia,APO,2025-10-04,M,30,Raw,242.0,876.3,496.0,804.7,2177.0,585.26
204,Mitch Lee #1,WRPF-AUS,2023-10-28,M,33,Wraps,261.4,914.9,551.1,771.6,2237.6,585.22
205,Zackary Sanders #1,USPA,2022-10-07,M,28,Wraps,195.3,771.6,435.4,771.6,1978.6,584.97
206,Ilya Fedorov #3,WRPF,2021-04-24,M,28,Wraps,196.4,683.4,474.0,826.7,1984.1,584.91
207,Aliesha Sharp,GPC-AUS,2025-04-06,F,27,Wraps,136.3,457.4,225.9,501.5,1184.8,584.83
208,Michael Miller #13,USPA,2026-05-25,M,30,Raw,176.1,688.9,429.9,749.5,1868.3,584.82
209,Konstantin Pozdeev,BB,2010-12-18,M,25~,Wraps,209.0,815.7,435.4,793.6,2044.7,584.78
210,Alex Donald,IPA,2026-04-12,F,35,Wraps,211.1,580.0,305.0,600.0,1485.0,584.77
211,Richard Jorgenson,RPS,2024-12-07,M,40~,Wraps,213.8,841.0,475.0,750.0,2066.0,584.7
212,Mike Lackey,XPS,2018-05-19,M,25,Wraps,266.8,900.0,550.0,800.0,2250.0,584.49
213,Omar Villegas #1,USPA,2026-05-25,M,29,Raw,212.9,749.5,490.5,821.2,2061.2,584.42
214,Madeline Scott,RPS,2025-12-06,F,34,Wraps,162.9,512.5,259.0,540.1,1311.6,584.09
215,Justin Jackson #1,WRPF,2021-04-24,M,35,Wraps,270.9,936.9,573.2,749.5,2259.6,584.08
216,Jacqueline Malayter,AMP,2025-11-22,F,27,Raw,150.8,457.4,308.6,490.5,1256.5,584.01
217,Laura Mautalen,FFForce,2026-06-06,F,25~,Raw,165.5,446.4,325.1,551.1,1322.6,583.98
218,Heidy Solarte,WRPF-Colombia,2026-05-08,F,23,Raw,182.4,573.2,286.6,529.1,1388.9,583.87
219,Jani-Pekka Eirala,IPA,2019-05-25,M,31,Wraps,242.3,859.8,540.1,771.6,2171.5,583.58
220,Janee Kovacs,AMP,2026-03-05,F,23,Raw,151.1,457.4,281.1,518.1,1256.6,583.32
221,Sonita Muluh,IPF,2026-01-31,F,29,Raw,307.1,702.1,347.2,606.2,1655.5,583.06
222,Ben Donin,ABS,2025-11-29,M,27,Raw,195.5,782.6,407.8,782.6,1973.0,583.01
223,Santiago Roldán,WRPF-Spain,2025-09-13,M,24,Raw,163.0,644.8,374.8,755.0,1774.6,582.85
224,Dylan Hellriegel,ProRaw,2019-03-15,M,23,Wraps,355.8,1003.1,529.1,903.9,2436.1,582.83
225,Leanne Le,AMP,2026-03-05,F,24,Raw,102.3,331.8,203.9,435.4,971.1,582.83
226,Mary Fleckenstein,RPS,2021-11-06,F,25,Wraps,147.9,501.5,253.5,485.0,1240.0,582.72
227,Joshua Joachim,NAPF,2026-08-03,M,23,Raw,231.1,866.4,424.4,837.7,2128.5,582.69
228,Aleksandr Semenyuk,WRPF,2023-12-16,M,28,Wraps,209.4,782.6,485.0,771.6,2039.2,582.63
229,Shane Hunt,USPA,2022-09-24,M,25,Raw,265.0,793.6,507.0,936.9,2237.5,582.6
230,Aleksandra Szymczykowska,WRPF,2026-07-11,F,28,Raw,132.0,429.9,264.5,462.9,1157.3,582.6
231,Rheta West,MM,2016-12-17,F,42,Wraps,148.0,535.0,255.0,450.0,1240.0,582.52
232,Aaron Palko,XPC,2019-03-02,M,30,Wraps,229.0,865.0,500.0,755.0,2120.0,582.5
233,Anna Pardzhiani,WRPF,2026-03-28,F,29,Raw,189.6,573.2,330.7,507.0,1410.9,582.43
234,Gustav Hedlund,IPF,2025-01-26,M,29~,Raw,204.8,738.5,485.0,793.6,2017.1,582.38
235,Steve Bake,APF,2019-11-02,M,0,Wraps,305.0,860.0,625.0,850.0,2335.0,582.37
236,Andrzej Stanaszek,EPF,2002-05-09,M,30~,Raw,113.1,639.3,374.8,308.6,1322.7,582.15
237,Dennis Cornelius,USPA,2018-05-12,M,37,Wraps,287.0,953.5,584.2,755.0,2292.7,582.07
238,Vladislav Alhazov,NPA,2017-07-22,M,39,Wraps,370.3,1102.3,485.0,870.8,2458.1,582.02
